"","Spec_Clust","ward.D","ward.D2","single","complete","mcquitty","average","median","centroid","Genie_useVpTree_F","cluster_pam"
"16",0.4209994393426,0.616317547359339,0.616317547359339,0.56574100946821,0.616317547359339,0.616317547359339,0.581429774556698,0.621877038624138,0.616317547359339,0.575396455568751,0.614175399889686
"17",0.402062354697656,0.489175869554984,0.489175869554984,0.663235837081306,0.471653461086469,0.489175869554984,0.462381868530079,0.462381868530079,0.489175869554984,0.56270938279708,0.454953337175494
"18",0.546890976269557,0.535179047241625,0.535179047241625,0.706046392615653,0.535179047241625,0.535179047241625,0.52649867311051,0.52649867311051,0.51064662693281,0.554555296616527,0.505869454339541
"19",0.376170037725145,0.388214687923122,0.406355685385938,0.221551807136903,0.406355685385938,0.406355685385938,0.398392840299712,0.390123993787933,0.375753355932329,0.264116843546727,0.37224845386943
"20",0.260754848539266,0.266849590597209,0.265725777241715,0.167434504097024,0.264754820308257,0.264754820308257,0.259677136881631,0.266419807477932,0.265242843599564,0.190587458516736,NA
"21",0.198197595978623,0.199413729786275,0.202513589359318,0.14008384348658,0.202513589359318,0.202513589359318,0.200393632060726,0.199062491221901,0.20209879040807,0.163738586193828,NA
"22",0.403959406807599,0.401444560866102,0.431902509365852,0.462866908500559,0.431902509365852,0.431902509365852,0.41538947779989,0.40446213504612,0.438420148344452,0.369755216973644,0.390660344946302
"23",0.405912038406575,0.375217172968072,0.40166214029738,0.493308985712498,0.40166214029738,0.40166214029738,0.419977723879651,0.441970526848791,0.366564104380395,0.637634461323179,0.397632908153663
"24",0.25401013889331,0.275287358512053,0.263261566543651,0.177111776907009,0.263261566543651,0.263261566543651,0.268929464457979,0.266726377921454,0.264518865405893,0.215609974131183,0.257543165612164
"25",0.591972639074494,0.591322481224651,0.591322481224651,0.732039439658394,0.591322481224651,0.591322481224651,0.57690733347335,0.58776240660194,0.591322481224651,0.70054975540201,0.582681050351225
"26",0.575800177535127,0.595178189885967,0.571212377331022,0.785237623211557,0.571212377331022,0.571212377331022,0.58607631706739,0.58607631706739,0.564350762319576,0.785630620736912,0.572188094631774
"27",0.517181784220275,0.56785801333216,0.590861903019297,0.572658023734705,0.641459115114185,0.590861903019297,0.544600697324328,0.61997664466573,0.604043980222976,0.578475185063595,0.684433028217829
"28",0.383567181125756,0.39419094932871,0.412082947338758,0.249982827890498,0.412082947338758,0.412082947338758,0.397395364519046,0.365623883560934,0.386066860100876,0.249033577432036,0.417612633588126
"29",0.398547216487059,0.408656250211044,0.418867127056168,0.257360999962637,0.418867127056168,0.418867127056168,0.431635767370713,0.430808639724143,0.41433566590161,0.322176475269347,0.459073864747575
"30",0.382919499564746,0.390484045522462,0.382794861483735,0.257352114321002,0.395911156808746,0.395911156808746,0.385165118988153,0.355161607350176,0.398596300058784,0.258913045837329,0.409089843438269
"31",0.306582486201409,0.30269825982612,0.317308362245686,0.257346333515936,0.317308362245686,0.317308362245686,0.310639632753665,0.301409725483685,0.313410743934594,0.335267930824276,0.311588898107501
"32",0.27899414802187,0.29115170458854,0.293853045204963,0.257426958267939,0.303652947670865,0.303652947670865,0.28574289069185,0.298899879133468,0.290461897945147,0.279736996385225,0.280422846660372
"33",0.365964779622781,0.361876969937285,0.36221384518858,0.571767235510657,0.36221384518858,0.36221384518858,0.352149648190166,0.357651157073855,0.348075204113329,0.508119684322601,0.348760022775699
"34",0.548959549136079,0.522787080159512,0.514167738411375,0.534453408969013,0.52590437884589,0.52590437884589,0.533655922895429,0.52441397966942,0.631299671787017,0.682702458012001,0.54305663697321
"35",0.435373987256355,0.461901631767722,0.471460857651231,0.498874172359989,0.471460857651231,0.471460857651231,0.509409701734771,0.439926606783218,0.441555372695926,0.587459929240278,0.519587202847194
"36",0.355577595922158,0.337444354843691,0.36308695203053,0.548418114631441,0.36308695203053,0.36308695203053,0.330405948656165,0.320460798277207,0.390310333858992,0.426165845490941,0.29271453155631
"37",0.502802888903293,0.516225480441764,0.516225480441764,0.704456889253082,0.516225480441764,0.516225480441764,0.541450561270121,0.513714359275315,0.516225480441764,0.620412799600401,0.504456958157622
"38",0.632089621129736,0.587965867417903,0.587965867417903,0.576244379842241,0.587965867417903,0.587965867417903,0.614252198528752,0.570958300486263,0.598344148797486,0.723463547278521,0.597753234603308
"39",0.447911587545503,0.433419739916005,0.433419739916005,0.576244379842241,0.433419739916005,0.433419739916005,0.412080098872862,0.412080098872862,0.433419739916005,0.473145317715883,0.408429256383755
"40",0.420012396305291,0.526992434648912,0.526992434648912,0.509729942049741,0.526992434648912,0.526992434648912,0.519614348456333,0.493017887225913,0.528245584145876,0.501621101437295,0.526188927787471
"41",0.441780950395495,0.510588647309856,0.507463427006046,0.5684848663912,0.507463427006046,0.507463427006046,0.473127446410752,0.536941115506773,0.499670639745307,0.539645651075398,0.477694235588972
"42",0.520231792317783,0.588143721418462,0.577273844283887,0.615521346608423,0.577273844283887,0.577273844283887,0.552077894377359,0.534810970899493,0.522323361300569,0.492644306409268,0.567999508085287
"43",0.430275464849791,0.582295845867937,0.458853679801093,0.544339909976892,0.458853679801093,0.458853679801093,0.535155020432021,0.590600001654897,0.470784340433336,0.648719214482155,0.528210311301248
"44",0.613225468871649,1,1,1,1,1,1,1,1,1,1
"45",0.49756293716401,0.5090822320123,0.535266354019629,1,0.539938039705988,0.653924670726077,0.648229029071376,0.509681810128291,0.656219911460933,1,0.497506312774023
"46",0.825186933706581,0.577464502548594,0.455022173676711,1,0.413131414104136,0.461605297967036,0.412291055128858,0.434109961212296,0.441860109224742,1,0.529344624635272
