"","Spec_Clust","ward.D","ward.D2","single","complete","mcquitty","average","median","centroid","Genie_useVpTree_F","cluster_pam","Names"
"12",-0.0390700247817656,0.301939224750161,0.301939224750161,-0.00596118746854409,0.301939224750161,0.301939224750161,0.26980958640868,0.161971248269949,0.301939224750161,-0.104760157472827,0.149549427855204,"graves/line"
"13",0.210383835253892,0.252802515401754,0.181970517986883,-6.69963208851144e-05,0.181970517986883,0.181970517986883,0.141588207145487,0.250761856789645,0.252793331711074,0.00355353585318616,0.234929775724018,"graves/parabolic"
"14",0.0622809187895972,0.0256831091295401,-0.000963790660302488,4.01204412430661e-06,-0.000963790660302488,-0.000963790660302488,-0.000614230144792155,0.0270117415200133,0.0313150378096639,-0.000270584926169054,-0.00100200400801605,"graves/ring"
"15",0.00928390266426836,0.0730589102302505,0.0730589102302505,0.00219707819177739,0.0730589102302505,0.0730589102302505,0.196796172748527,0.196796172748527,0.11397849091024,-0.0103672518066613,0.110363620880525,"graves/zigzag"
"16",0.133258498817788,0.427654748115532,0.427654748115532,3.67797490707223e-06,0.427654748115532,0.427654748115532,0.36045138786169,0.416862794775547,0.427654748115532,0.301908524609128,0.425121345835632,"other/iris"
"17",0.0199685142568099,0.130225810359202,0.130225810359202,-0.00207908878610604,0.124321922738795,0.130225810359202,0.112250434758681,0.112250434758681,0.130225810359202,0.151393537415439,0.107760552393842,"other/iris5"
"18",0.0312653733613446,0.00337541348815221,0.00337541348815221,4.01204412430661e-06,0.00337541348815221,0.00337541348815221,0.0184484852904609,0.0184484852904609,0.0195130403679714,0.0372871818835405,0.0127271697704025,"other/square"
"19",0.343254141933904,0.354946263241302,0.374430339141732,3.15376229770922e-05,0.374430339141732,0.374430339141732,0.365541886212431,0.356123667132168,0.342205455902296,0.0575000140405762,0.339422120416398,"sipu/a1"
"20",0.238704004828373,0.244805488438387,0.243489376171117,1.51514098043347e-05,0.24251759148636,0.24251759148636,0.237314052073222,0.244576177882799,0.243101174259335,0.0265516572178287,NA,"sipu/a2"
"21",0.181766404218975,0.182636474709442,0.18589230116156,1.34291720034106e-05,0.18589230116156,0.18589230116156,0.183566580774265,0.182069217482386,0.185311631356659,0.0202025122177021,NA,"sipu/a3"
"22",0.266659291444847,0.264989857088372,0.300866218220254,0.00129291532967915,0.300866218220254,0.300866218220254,0.279943489342855,0.267358004959554,0.308752609665304,-0.0207200197715342,0.254281017728246,"sipu/aggregation"
"23",0.244794539760692,0.2061175031855,0.240004285570009,0.0023423839070217,0.240004285570009,0.240004285570009,0.261444375366142,0.284095567705316,0.195200050468289,0.388188141790565,0.238811320501002,"sipu/compound"
"24",0.228980888204741,0.250478560252957,0.238103043104774,4.04109732638507e-05,0.238103043104774,0.238103043104774,0.243911707309495,0.241650258985661,0.239368767830502,0.0391209269381671,0.233036638612238,"sipu/d31"
"25",0.0976345587371016,0.104449041895586,0.104449041895586,0.00651061348765891,0.104449041895586,0.104449041895586,0.10945557860802,0.133592529845478,0.104449041895586,-0.0251145302889267,0.135321825468959,"sipu/flame"
"26",-0.0277515246965715,0.0671983877325945,0.0375778295051074,0.0100479949517319,0.0375778295051074,0.0375778295051074,0.0610310003485046,0.0610310003485046,-0.0154691889534735,0.0200890524461187,0.0397566638716739,"sipu/jain"
"27",0.264278093432383,0.346427483740194,0.381173544442644,-0.00041120224961299,0.461756991063363,0.381173544442644,0.305727185477681,0.426698115259103,0.400191475962784,0.259764689988992,0.527671162535075,"sipu/pathbased"
"28",0.338776043817425,0.350088172004029,0.369825109018871,0.000438894065719033,0.369825109018871,0.369825109018871,0.353481080886048,0.320235751381499,0.341457109324977,0.00229935540403366,0.376915937446487,"sipu/r15"
"29",0.355104658836772,0.365173639768104,0.376203405859336,-1.9337767073353e-05,0.376203405859336,0.376203405859336,0.390164117239694,0.388430758868328,0.371668777050789,0.090444724427108,0.420505112386074,"sipu/s1"
"30",0.338417637311608,0.345585706220834,0.337307560051377,-2.21205444181681e-05,0.351472334786833,0.351472334786833,0.33929665484692,0.306413270187444,0.35416102089526,0.0163709588744919,0.366957902527132,"sipu/s2"
"31",0.256564251992547,0.251094508800978,0.267180461408174,-7.66346564890677e-06,0.267180461408174,0.267180461408174,0.259661996597118,0.249398286124042,0.262933531310537,0.111860757030774,0.262511894359083,"sipu/s3"
"32",0.22591135011065,0.239453015353051,0.241944804081487,3.01730289140572e-05,0.252447627762505,0.252447627762505,0.232578899051991,0.247328228272779,0.23860894070605,0.040061899954513,0.22912068270355,"sipu/s4"
"33",0.0319049933836297,0.022673371296808,0.0222983507069101,-0.00018293581789907,0.0222983507069101,0.0222983507069101,0.021339393989062,0.0341086733842762,0.0223734583253915,0.00591842597465561,0.0261803830993844,"sipu/spiral"
"34",0.40265533656051,0.373110310289719,0.363382458193959,0.00162876885927032,0.376559095079324,0.376559095079324,0.385696712377424,0.375062191734174,0.497664391773799,0.419190852902611,0.39475104516274,"sipu/unbalance"
"35",0.240395062526485,0.280407998854454,0.293669257868241,-6.6566215034492e-07,0.293669257868241,0.293669257868241,0.345332725638805,0.245254497119428,0.251913036195462,0.322013150927508,0.359769665370491,"wut/cross"
"36",0.152784766423324,0.133885952177797,0.166882104916314,0.00580520851694659,0.166882104916314,0.166882104916314,0.121891626510878,0.113099450375679,0.198877077095411,0.062503295003209,0.0849651774548484,"wut/smile"
"37",0.00806684072790586,0.0127132547070781,0.0127132547070781,2.51892309488484e-05,0.0127132547070781,0.0127132547070781,0.00125194259338386,0.0152439243788028,0.0127132547070781,-0.000986625021213932,0.0113916315244565,"wut/twosplashes"
"38",0.434884372805711,0.373765197718225,0.373765197718225,0.00235997776006079,0.373765197718225,0.373765197718225,0.408224785098583,0.35327931711151,0.39594755555159,0.522675312224683,0.395186160210606,"wut/x1"
"39",0.154610200187372,0.128757912688799,0.128757912688799,0.00235997776006079,0.128757912688799,0.128757912688799,0.096737082037911,0.096737082037911,0.128757912688799,0.0612741418102234,0.110680707032719,"wut/x2"
"40",0.213730211727671,0.34557273622525,0.34557273622525,0.00319366429784337,0.34557273622525,0.34557273622525,0.342629910709435,0.317208464767214,0.345970244280348,0.295879908576506,0.357542374776278,"wut/x3"
"41",0.140251926103362,0.263952968902759,0.259990278362876,0.000334214563138476,0.259990278362876,0.259990278362876,0.211149340808721,0.298136965180522,0.243781203496724,0.192278425606896,0.22062186716792,"wut/z1"
"42",0.312545854835387,0.403057823050428,0.38796464840949,0.00924924503830825,0.38796464840949,0.38796464840949,0.357762002513882,0.330454080046603,0.316117252467975,-0.0631644654160317,0.378490301656917,"wut/z2"
"43",0.19977382974452,0.415985242147311,0.249755602448564,-0.00171672682330581,0.249755602448564,0.249755602448564,0.336445905672194,0.424150083607081,0.261596811220539,0.389110765462901,0.348915672716709,"wut/z3"
"44",0.464391957788432,1,1,1,1,1,1,1,1,1,1,"set1"
"45",-0.0024120596954623,0.0018184192326851,-0.000526180823861031,1,0.00151820299014408,0.0411406986179798,0.063981127825449,0.0200528336929615,0.0352684933204335,1,-0.00248743702968351,"set2"
"46",0.761199038940107,0.39953029903136,0.217937342475823,1,0.140996396037689,0.1710121935069,0.114074465698677,0.177629804399835,0.0521161880703176,1,0.344827890870021,"set3"
